,C,L,Algorithm A,Our Algorithm,Items,Users
0,25,100,300.99999996015987,119.99999992756081,200,10
1,50,100,575.0000000046267,119.99986256799265,200,10
2,75,100,822.0000007367717,119.99999950480341,200,10
3,100,100,1000.0000000149,119.99999982560878,200,10
4,125,100,1000.00000004911,0.0,200,10
5,150,100,999.9999988955988,0.0,200,10
6,175,100,1000.0000000014917,0.0,200,10
7,200,100,999.9999999990623,0.0,200,10
8,5,5,50.000000051978,139.9998567899083,200,10
9,5,10,61.0,139.999981608515,200,10
10,5,20,61.00000000990681,140.00000036667737,200,10
11,5,30,61.00000001243629,140.00000034663654,200,10
12,5,50,61.999999998362206,139.99996991437575,200,10
